"","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","BodyMass.Value","taxon"
"3455","Sorex cansulus",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",6.05,"mammal"
"3456","Sorex buchariensis",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",4.61,"mammal"
"3457","Sorex bedfordiae",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",6.6,"mammal"
"3458","Sorex antinorii",70,0,0,0,0,30,0,0,0,0,"Ref_2","D1",6.05,"mammal"
"3459","Sorex araneus",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",10,"mammal"
"3460","Sorex arcticus",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",8.15,"mammal"
"3461","Sorex arunchi",70,0,0,0,0,30,0,0,0,0,"Ref_2","D1",6.05,"mammal"
"3462","Sorex asper",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",7.95,"mammal"
"3463","Sorex averini",70,0,0,0,0,30,0,0,0,0,"Ref_2","D1",6.05,"mammal"
"3464","Sorex roboratus",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",9.12,"mammal"
"3465","Sorex coronatus",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",9.6,"mammal"
"3466","Sorex satunini",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",7.47,"mammal"
"3467","Sorex sinalis",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",9.43,"mammal"
"3468","Sorex tundrensis",70,0,0,0,0,30,0,0,0,0,"Ref_1","ABC",7.73,"mammal"
